serid,type,time
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Detection-Dbscan,25.50022
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Detection-Relocate,0.00208
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,Detection-2ModelPredict,59.27609
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,Detection-2ModelGetPbb,0.96919
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,Detection-Concat,0.00008
1.2.392.200036.9116.2.5.1.37.2424372387.1550810225.534294,Preprocess-Cpp,88.59586
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-AirwayModel,0.76685
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,0.00045
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,0.00047
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,LungLeaf-FissureSegmentation-SlidingWindow,36.84784
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,1.00119
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,Detection-2ModelPredict,71.22059
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,0.00229
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,Detection-2ModelGetPbb,1.11069
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,Detection-Concat,0.00016
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,LungLeaf-FissureSegmentation-PatchPrediction,9.26306
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,LungLeaf-FissureSegmentation-MergeResult,0.08535
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,LungLeaf-FissureSegmentation,16.89173
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,0.00045
1.2.392.200036.9116.2.5.1.37.2424372387.1550810225.534294,Preprocess-Python,39.04001
1.2.392.200036.9116.2.5.1.37.2424372387.1550810225.534294,Detection-PrepareLoader,0.00006
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,0.00080
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,Preprocess-Cpp,74.99213
1.2.392.200036.9116.2.5.1.37.2424372387.1550810225.534294,Detection-GeneratePatches,14.91459
1.2.392.200036.9116.2.5.1.37.2424372387.1550810225.534294,Detection-SplitPatches,0.00028
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,1.00146
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,0.00044
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,Preprocess-Python,24.03539
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,Detection-PrepareLoader,0.00217
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,0.00054
1.2.392.200036.9116.2.5.1.37.2424372387.1550799683.960461,Detection-2ModelPredict,88.48385
1.2.392.200036.9116.2.5.1.37.2424372387.1550799683.960461,Detection-2ModelGetPbb,1.62161
1.2.392.200036.9116.2.5.1.37.2424372387.1550799683.960461,Detection-Concat,0.00017
1.2.392.200036.9116.2.5.1.37.2424372387.1550810549.681580,Preprocess-Cpp,80.72530
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,Detection-GeneratePatches,10.67938
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,LungLeaf-PostProcessingAndDetection,48.54677
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,Detection-SplitPatches,0.00022
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,0.00048
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,LungSeg-StageOneLungSegPrediction,0.21550
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,LungSeg-LungSegPrediction,0.02536
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,1.00133
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,Detection-Dbscan,52.32798
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,Detection-Relocate,0.00480
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,0.00054
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,Detection-Dbscan,51.68788
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,Detection-Relocate,0.00258
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-FpAreaCheck,0.00047
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,PostProcess-AirwayModel,0.34720
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,PostProcess-FpAreaCheck,0.00050
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-NoduleSegmentation,91.24474
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-DensityClassification,3.52056
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-MaliClassification,8.62021
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,PostProcess-FpAreaCheck,0.00052
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,LungLeaf-FissurePreproc,4.39407
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,PostProcess-AirwayModel,1.07632
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,PostProcess-FpAreaCheck,0.00042
1.2.392.200036.9116.2.5.1.37.2424372387.1550810549.681580,Preprocess-Python,35.42631
1.2.392.200036.9116.2.5.1.37.2424372387.1550810549.681580,Detection-PrepareLoader,0.00006
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,PostProcess-FpAreaCheck,0.00053
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,PostProcess-FpAreaCheck,0.00245
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,PostProcess-FpAreaCheck,0.00050
1.2.392.200036.9116.2.5.1.37.2424372387.1550810549.681580,Detection-GeneratePatches,9.62395
1.2.392.200036.9116.2.5.1.37.2424372387.1550810549.681580,Detection-SplitPatches,0.00023
