serid,type,time
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,LungLeaf-FissurePreproc,0.84012
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,LungLeaf-FissureSegmentation-SlidingWindow,15.78696
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,LungLeaf-FissureSegmentation-SlidingWindow,37.33852
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,LungLeaf-FissureSegmentation-PatchPrediction,4.91396
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,LungLeaf-FissureSegmentation-MergeResult,0.06023
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,LungLeaf-FissureSegmentation,26.48168
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,Preprocess-Cpp,41.05629
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,LungLeaf-FissureSegmentation-PatchPrediction,3.65223
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,LungLeaf-FissureSegmentation-MergeResult,0.02989
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,LungLeaf-FissureSegmentation,53.46312
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,LungLeaf-PostProcessingAndDetection,15.15949
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,LungLeaf-PositionPrediction,0.00031
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,LungSeg-LungSegPrediction-StageOne,0.06156
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,LungSeg-LungSegPrediction,0.42163
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,Preprocess-Python,16.26048
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,Detection-PrepareLoader,0.00006
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,Preprocess-Python,58.05738
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,Detection-PrepareLoader,0.00007
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,Detection-GeneratePatches,7.85293
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,Detection-SplitPatches,0.00018
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,Detection-GeneratePatches,9.32853
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,Detection-SplitPatches,0.00019
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-fpAreaCheck,0.00228
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-NoduleSegmentation,116.16163
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-DensityClassification,1.11721
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-MaliClassification,4.55257
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,LungLeaf-FissurePreproc,4.01113
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,LungLeaf-PostProcessingAndDetection,39.75238
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,LungLeaf-PositionPrediction,1.00145
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,LungSeg-LungSegPrediction-StageOne,0.05158
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,LungSeg-LungSegPrediction,0.59415
1.2.392.200036.9116.2.5.1.37.2424372387.1550799683.960461,Preprocess-Cpp,53.57676
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,Detection-2ModelPredict,53.10009
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,Detection-2ModelGetPbb,0.82944
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,Detection-Concat,0.00015
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,Detection-2ModelPredict,58.85022
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,LungLeaf-FissureSegmentation-SlidingWindow,43.54271
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,Detection-2ModelGetPbb,0.90560
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,Detection-Concat,0.00012
1.2.392.200036.9116.2.5.1.37.2424372387.1550799683.960461,Preprocess-Python,21.87600
1.2.392.200036.9116.2.5.1.37.2424372387.1550799683.960461,Detection-PrepareLoader,0.00005
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,LungLeaf-FissureSegmentation-PatchPrediction,7.38189
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,LungLeaf-FissureSegmentation-MergeResult,0.07245
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,LungLeaf-FissureSegmentation,63.05784
1.2.392.200036.9116.2.5.1.37.2424372387.1550799683.960461,Detection-GeneratePatches,9.86159
1.2.392.200036.9116.2.5.1.37.2424372387.1550799683.960461,Detection-SplitPatches,0.00013
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,Detection-Dbscan,31.44663
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,Detection-Relocate,0.00157
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,Detection-Dbscan,31.93432
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,Detection-Relocate,0.00195
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,PostProcess-AirwayModel,0.36070
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,PostProcess-AirwayModel,0.31655
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,LungLeaf-PostProcessingAndDetection,43.42404
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,LungLeaf-PositionPrediction,1.00084
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,LungSeg-LungSegPrediction-StageOne,0.08108
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,LungSeg-LungSegPrediction,0.72974
1.2.392.200036.9116.2.5.1.37.2424372387.1550799683.960461,Detection-2ModelPredict,62.78621
1.2.392.200036.9116.2.5.1.37.2424372387.1550799683.960461,Detection-2ModelGetPbb,1.05753
1.2.392.200036.9116.2.5.1.37.2424372387.1550799683.960461,Detection-Concat,0.00020
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,PostProcess-fpAreaCheck,0.00424
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,PostProcess-NoduleSegmentation,37.47484
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,PostProcess-DensityClassification,2.49016
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,PostProcess-MaliClassification,6.95754
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,LungLeaf-FissurePreproc,0.53188
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,LungLeaf-FissureSegmentation-SlidingWindow,12.89080
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,LungLeaf-FissureSegmentation-PatchPrediction,4.79966
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,LungLeaf-FissureSegmentation-MergeResult,0.05023
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,LungLeaf-FissureSegmentation,23.28515
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,LungLeaf-PostProcessingAndDetection,12.51554
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,LungLeaf-PositionPrediction,0.00029
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,LungSeg-LungSegPrediction-StageOne,0.13318
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,LungSeg-LungSegPrediction,0.47746
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,PostProcess-fpAreaCheck,0.00340
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,PostProcess-NoduleSegmentation,83.43369
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,PostProcess-DensityClassification,1.92751
